id,status,sort,name,test_id,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
222,1,0,Lavender,182,NULL,NULL,NULL,Indica,0,Soma,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Lavender, Sweet",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,1,0,Connie Chung,185,NULL,NULL,NULL,Hybrid,0,DNA Genetics,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6697,2,0,Hawaiian Dutch Treat,187,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,2,0,Alice in Wonderland,206,NULL,NULL,NULL,Hybrid,NULL,Unknown Breeder,"Relaxed, Happy, Uplifted, Focused, Creative, Dry Mouth, Anxious","Lack of Appetite, Stress, Depression, Muscle Spasms","Pine, Earthy, Sweet",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,1,0,Strawberry Cough,208,NULL,NULL,NULL,Hybrid,174,Unknown Breeder,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Strawberry, Sweet, Berry","Lake Forest, CA",NULL,1700,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1850,2,0,Dynamite,214,NULL,NULL,NULL,Hybrid,NULL,Next Generation Seeds,"Euphoric, Tingly, Talkative, Creative, Horny, Dry Mouth, Anxious","Stress, Pain, Inflammation, Depression","Earthy, Citrus",NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,0,Headband,216,NULL,NULL,NULL,Hybrid,0,Unknown Breeder,NULL,NULL,NULL,"Richmond, CA",NULL,1900,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,1,0,Durban Poison,226,NULL,NULL,NULL,Sativa,0,Nirvana,"Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Earthy, Sweet, Pine",NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368,1,0,Skunk #1,230,NULL,NULL,NULL,Hybrid,10,Sensi Seeds,NULL,NULL,NULL,NULL,NULL,127,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2851,2,0,Candy Skunk,234,NULL,NULL,NULL,Hybrid,NULL,THC Development Seed Company,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
